smile,classe
[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@H](O)C2,CHEBI_77746
CC(C)=CCc1c(O)ccc(C(=O)[C@H]2[C@@H](CC(C)=C[C@@H]2c2c(O)cc(O)c3c2oc(c(CC=C(C)C)c3=O)-c2ccc(O)cc2O)c2ccc(O)cc2O)c1O,CHEBI_76924
S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC1=CC=CC=C1)CCCN=C(N)N)C(O)=O)C,CHEBI_16670
CCCCC\C=C/CC1OC1C\C=C/C\C=C/CCCC(O)=O,CHEBI_75771
O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)n1cnc2c1nc[nH]c2=O,CHEBI_75771
CC(C)=CCc1c(O)c(c(O)c2c1oc1c(O)c(O)ccc1c2=O)C(C)(C)C=C,CHEBI_35610
Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1,CHEBI_35610
C[C@@H]([C@@H]1O[C@@H]1C1OC1(C)C)[C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,CHEBI_76924
P(=O)([O-])(OCC[N+](C)(C)C)OC[C@@H](CO)OC(CCC/C=C\C[C@H]1C(C[C@H]([C@@H]1/C=C/[C@H](CCCCC)O)O)=O)=O,CHEBI_75771
OC[C@H](NC(=O)[C@@H](N)CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,CHEBI_25676
COc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(OC)c(c1)-c1c(O)cc(O)c2c1oc(cc2=O)-c1ccc(O)cc1,CHEBI_35610
C=1C=C(C=C2C(=C(NC12)O)CCNC(=O)C)OC,CHEBI_35610
CCCCC1C(=O)N(N(C1=O)c1ccc(O)cc1)c1ccccc1,CHEBI_35610
[H][C@@]12C[C@H](C)C[C@H](C(O)=O)[C@@]1([H])[C@](C)(C(=O)CCO)C([C@H](C)CCCC)=C(O)C2=O,CHEBI_25212
C=12N=C(N=CC1C3=C(N2[C@@H]4CC[C@H](CC4)C)C=NC=C3)NC=5C=CC6=C(N5)CCN(C6)C(CO)=O,CHEBI_35610
O=C(N[C@@H](CCCCN)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CCCCN,CHEBI_25676
CC(CO)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEBI_77746
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O,CHEBI_75771
Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccccc1,CHEBI_76924
CC(C)=CCc1c(O)c(CC=C(C)C)c2O[C@@H](CC(=O)c2c1O)c1cc(O)cc(O)c1,CHEBI_76924
O=C(N1[C@@H](CCC1)C(=O)NCC(O)=O)[C@@H](N)CCC(=O)N,CHEBI_25676
O=C(N[C@@H](CC(O)=O)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CC(O)=O,CHEBI_25676
OC(=O)[C@@H](NC(=O)CNC(=O)CN)CCCN=C(N)N,CHEBI_25676
Cn1c2[nH]c(=O)n(C)c2c(=O)n(C)c1=O,CHEBI_75771
[H][C@@]12COc3cc(O)c(CC=C(C)C)c(OC)c3[C@]1([H])Oc1c(CC=C(C)C)c(OC)c(O)cc21,CHEBI_76924
CC(O)(Cc1ccc(O)cc1)c1ccc(O)cc1,CHEBI_75771
NC(=[NH2+])NCCC[C@H]([NH3+])C([O-])=O,CHEBI_77746
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C,CHEBI_77746
CC\C=C\C=C(/OC)C(O)C(C)CC(OC)\C=C\C=C\C1OC(=O)C=CC1OC,CHEBI_25212
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C([O-])=O,CHEBI_77746
C[C@]12C[C@H](O)[C@H]3[C@@H](CC[C@@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,CHEBI_75771
O=C(N1[C@@H](CCC1)C(O)=O)[C@H]2N(CCC2)C(=O)[C@@H](N)CCCN=C(N)N,CHEBI_25676
NCCc1ccccn1,CHEBI_25212
CSCC[C@H](N)C(=O)N[C@@H](CCCCN)C(O)=O,CHEBI_25212
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O)C=O,CHEBI_16670
CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,CHEBI_35610
CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCCC([O-])=O,CHEBI_77746
COc1ccc([C@H]2COc3cc(O)ccc3C2)c(OC)c1O,CHEBI_35610
[H][C@@]12CC3=C(C)C(=O)O[C@@]3(O)C[C@@]1(C)CCCC2=C,CHEBI_25212
O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O,CHEBI_77746
COc1ccc2c(c[n+](C)c3c4cc5OCOc5cc4ccc23)c1OC,CHEBI_35610
CC(O)C(NC(=O)CCC(N)C(O)=O)C(O)=O,CHEBI_77746
[H][C@]12C[C@@H](O)[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCCC(C)C)[C@@]1(C)CCC(=O)C2,CHEBI_75771
C(C(NO)=O)[C@H](C(N[C@H](C(NC)=O)CC=1C=2C(NC1)=CC=CC2)=O)CC(C)C,CHEBI_35610
[H][C@@]1(COC(=O)C1)[C@]1([H])CC[C@]2(C)C3=CC[C@@]4([H])C(C)(C)C(=O)CC[C@]4(C)[C@@]3([H])CC[C@@]12C,CHEBI_25212
O=C1C=c2cc[nH]c2=CC1=O,CHEBI_75771
O=C(N[C@H](C(=O)N[C@@H](CC=1C=2C(NC1)=CC=CC2)C(O)=O)CC(O)=O)[C@@H](N)CCCCN,CHEBI_16670
Cn1cnc2[nH]c(=O)[nH]c(=O)c12,CHEBI_76924
CC\C(c1ccc(O)cc1)=C(\CC)c1ccc(O)cc1,CHEBI_35610
COc1c(O)cc2oc3cc(O)cc(O)c3c(=O)c2c1C\C=C(/C)CCC=C(C)C,CHEBI_35610
CCCCCCCCCCCCCCCC(=O)OC(C)C,CHEBI_77746
[H][C@@]12CC(C)(C)[C@]1([H])CC\C(C)=C\CCC2=C,CHEBI_25212
O=C(N[C@@H](CC=1C=2C(NC1)=CC=CC2)C(O)=O)[C@@H](NC(=O)[C@@H](N)CO)CC3=CC=CC=C3,CHEBI_25676
[*]OCC(CO[*])O[*],CHEBI_75771
CCCCC\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CCCC(O)=O,CHEBI_75771
C(OP(=O)(OCCN)O)[C@@H](COC(CCCCCCCCC/C=C\C/C=C\CCCCC)=O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,CHEBI_75771
CC(=O)O[C@H]1CC[C@]23C[C@@H]1OO[C@@]2(C)C(=O)CCC3(C)C,CHEBI_25212
[O-]C(=O)Cc1c[nH]c2ccccc12,CHEBI_77746
CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC,CHEBI_75771
[NH3+][C@@H](CCC(=O)N[C@@H](CS)C([O-])=O)C([O-])=O,CHEBI_77746
CC1(C)C2CC1C(=C)C(=O)C2,CHEBI_75771
CC1(C)Oc2c(O)cc(\C=C\C(=O)c3ccc(O)cc3O)cc2C(O)C1O,CHEBI_35610
O=C(N[C@@H](CC(O)=O)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC=1NC=NC1)CC2=CC=CC=C2,CHEBI_25676
[H][C@@](COC([*])=O)(COP([O-])(=O)O[C@H]1[C@H](O)[C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](OP([O-])([O-])=O)[C@H]1O)OC([*])=O,CHEBI_77746
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(O)=O,CHEBI_75771
CC(C)=CCc1c(O)c2OC(C)(C)C=Cc2cc1[C@@H]1CC(=O)c2c(O)cc(O)c(CC=C(C)C)c2O1,CHEBI_25212
C12C(C=3C=CC(=C(C3O1)OC)OC)COC4=C2C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,CHEBI_76924
O=C(N[C@@H](CCCN=C(N)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC1=CC=C(O)C=C1)[C@H](CC)C,CHEBI_25676
O=C(N[C@@H](CC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CC1=CC=CC=C1,CHEBI_16670
CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(cc3)C(O)=O)ccc12,CHEBI_35610
[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(=O)NCCS(O)(=O)=O,CHEBI_75771
CC(COC(C)=O)[C@H]1CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]12C,CHEBI_76924
COc1ccc(cc1)[C@@H]1CCc2ccc(O)cc2O1,CHEBI_76924
NC(CC(=O)c1cccc(O)c1N)C(O)=O,CHEBI_77746
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1,CHEBI_35610
C(=N)(N)NCCCC(O)=O,CHEBI_75771
N[C@@H](Cc1cc(I)c(O)c(I)c1)C(O)=O,CHEBI_75771
[H][C@]12CC[C@]([H])([C@H]([C@@H](O)C1)C(O)=O)N2C,CHEBI_25212
O=C(N1[C@@H](CCC1)C(=O)N[C@@H](CO)C(O)=O)[C@@H](N)CC2=CC=C(O)C=C2,CHEBI_25676
CC1=CC(=O)[C@@H](O)[C@@]2(C)[C@H]1[C@@H](O)[C@H]1OC(=O)[C@H](O)[C@@]3(O)[C@]4(CO)OC[C@]13[C@@H]2[C@@H](O)[C@@H]4O,CHEBI_35610
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1OP(O)(=O)O[C@H]1C(O)OC[C@H](O)[C@@H]1O,CHEBI_76924
[H][C@@]12CCC3=C(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCC=C(C)C)[C@@]1(C)CC[C@H](O)[C@H]2C,CHEBI_75771
O=C(N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(O)=O)C(O)=O)[C@@H](N)CCCCN,CHEBI_16670
[H][C@@](CO[*])(COP([O-])(=O)OCC[N+](C)(C)C)O[*],CHEBI_25212
Cn1ccc(=O)c(c1)C(N)=O,CHEBI_75771
S(CC[C@H](NC(=O)[C@H]1NCCC1)C(=O)N[C@@H](CC(=O)N)C(O)=O)C,CHEBI_16670
O=C(N[C@@H](CCCCN)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)C,CHEBI_16670
CC(C)C[C@H](NC(=O)CN)C(O)=O,CHEBI_25212
Cn1cnc(CC=O)c1,CHEBI_77746
O=C(N[C@@H](C(C)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)CC1=CC=CC=C1,CHEBI_16670
CC1(C)[C@@H]2C[C@@H](O)[C@]3(C)[C@H](CC[C@]4(C)C3=CC(=O)O[C@@]4(O)c3ccoc3)[C@@]2(C)C=CC1=O,CHEBI_76924
C[Se]CC(N)C(O)=O,CHEBI_35610
Nc1ccn([C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)c(=O)n1,CHEBI_77746
OC(CCCCCCCC)CO,CHEBI_77746
CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C(CCSC)NC=O,CHEBI_16670
[H][C@@]1(OC(=O)[C@@H](O)[C@H]1O)[C@@H](O)CO,CHEBI_75771
CCCCC\C=C/C\C=C/C\C=C/CCCCC(O)=O,CHEBI_76924
C=1(C(=CC2=C(C1)N=CC=C2OC3=CC(=C(C=C3)NC(NC4CC4)=O)Cl)C(N)=O)OC,CHEBI_35610
[H][C@@]12C[C@@H](O)C=C3[C@@H](OC)O[C@H](OC(C)=O)[C@@]13[C@@H](O)[C@H](OC(=O)\C=C/C=C/CCCCC)[C@@H](C)[C@@]2(C)CCC(=C)C=C,CHEBI_25212
CC(=O)c1ccc(O)cc1O,CHEBI_76924
O=C(N[C@@H](CC1=CC=CC=C1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC=2NC=NC2)CC(C)C,CHEBI_25676
CCCCCCCCCCCCCCCC(=O)OC(CCCCCCCCCC)CCCCCCC([O-])=O,CHEBI_77746
NCCC#N,CHEBI_76924
OC(=O)CCCC([O-])=O,CHEBI_77746
[H][C@@]12CCC3=C(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCC=C(C)C)[C@@]1(C)CC[C@H](O)[C@H]2C,CHEBI_77746
CC(C)(C)[N+](\[O-])=C\c1ccc(O)cc1,CHEBI_35610
[H][C@@]12Cc3ccc4OCOc4c3CN1CCc1cc3OCOc3cc21,CHEBI_76924
O=C(N1[C@H](CCC1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(=O)N)CC(=O)N,CHEBI_16670
O=C(N[C@@H](CC=1C=2C(NC1)=CC=CC2)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC=3NC=NC3)C(C)C,CHEBI_25676
CC(C)Oc1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12,CHEBI_35610
N1C(SC[C@H]1C(=O)O)=S,CHEBI_75771
[C@H]1(C[C@@H](O)CN1)C(O)=O,CHEBI_75771
Cn1cc(CC(N)C(O)=O)c2ccccc12,CHEBI_35610
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,CHEBI_75771
[H][C@@]12[C@@H](C)C(=O)[C@H](CC)[C@@]1([H])[C@](CC)(C(O)=O)[C@@](CC)(C=C2CC)\C=C\c1ccccc1,CHEBI_35610
S(CC[C@H](N)C(=O)N1[C@@H](CCC1)C(=O)N[C@@H](CCC(=O)N)C(O)=O)C,CHEBI_25676
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)C)CCCCN,CHEBI_16670
N[C@H](CO)C(O)=O,CHEBI_77746
C\C=C\C1=CC2=C(CO1)C(=O)[C@](C)(O)[C@@H](C2)OC(=O)c1c(C)cc(O)cc1O,CHEBI_35610
[H][C@]12CC[C@]3(C)[C@]([H])(CC[C@@]3(O)C1=CC(=O)[C@]1([H])C[C@@H](O)[C@@H](O)C[C@]21C)[C@@](C)(O)[C@H](O)CCC(C)(C)O,CHEBI_76924
O=C(N1[C@@H](CCC1)C(O)=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)CO)CC(O)=O)CCCCN,CHEBI_25676
[H][C@@]12C[C@@H](O)[C@@]3([H])[C@]4(C)CCC[C@](C)(COC(C)=O)[C@@]4([H])CC[C@@]3(CC1=C)C2,CHEBI_25212
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,CHEBI_77746
O=C(N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)[C@@H](N)CC(C)C,CHEBI_25676
O[C@]1([C@]2([C@]([C@@H](CC1)C(C)C)(C=C(CC2)C)[H])[H])C,CHEBI_76924
COc1cc(O)c2c(c1)oc1c(O)cc(c(O)c1c2=O)-c1c(O)c([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c2c1oc1cc(O)c(O)cc1c2=O,CHEBI_25212
O=C(N[C@@H]([C@H](O)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(O)=O)CC(C)C,CHEBI_25676
C[C@@H]1CC(O)=C2C(=O)c3c(O[C@]2(CO)[C@@H]1OC(C)=O)ccc(c3O)-c1ccc2O[C@]3(COC(C)=O)[C@H](OC(C)=O)[C@H](C)CC(O)=C3C(=O)c2c1O,CHEBI_35610
CCCCC\C=C/C=C\CCCCCCCCC(O)=O,CHEBI_76924
C(CC=1C=COC1)[C@]2([C@@H](C[C@H]([C@]3(C(CCC[C@@]32C)(C)C)[H])OC(=O)C)C)O,CHEBI_35610
O[C@@H]([C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)C)C,CHEBI_25676
S(C(CC(O)=O)C(O)=O)C[C@H](N)C(O)=O,CHEBI_77746
C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(=O)[H])COCCCCCCCCCCCCCCCC,CHEBI_75771
COc1cc(cc(OC)c1O)[C@@H]1O[C@H]([C@H](CO)[C@H]1CO)c1cc(OC)c(OC)c(OC)c1,CHEBI_76924
Oc1cc(O)c2c(c1)oc1cc(O)c(O)cc1c2=O,CHEBI_76924
CCCCC[C@H](OO)\C=C\C=C/CCCCCCCC(O)=O,CHEBI_77746
O=C(N[C@@H](CCCCN)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC1=CC=C(O)C=C1)CC(C)C,CHEBI_25676
C[C@H]1[C@H]2[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@]22[C@H](C=C1C)\C=C\C[C@H](C)\C=C(C)\[C@@H](O)C(=O)\C=C\C2=O,CHEBI_35610
[H]C(=O)[C@H](O)COP(O)(O)=O,CHEBI_75771
O=C(N[C@@H](C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCCCN)[C@H](CC)C,CHEBI_25676
COc1cc2OC(C)(C)C=Cc2c(OC)c1C(=O)C[C@@H](C)O,CHEBI_35610
N[C@@H](COP(O)(O)=O)C(O)=O,CHEBI_75771
COc1cc(ccc1O)[C@@H]1CC(=O)c2c(O)c(CC=C(C)C)c3OC(C)(C)C=Cc3c2O1,CHEBI_25212
OC[C@@H](OC(CCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,CHEBI_76924
C1[C@]2([C@]3([C@@](C4=C(C=C(O)C=C4)[C@@H](C3)O)(CC[C@@]2(C(=O)C1)C)[H])[H])[H],CHEBI_75771
Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1O,CHEBI_77746
C[N+](C)(C)CC(CC([O-])=O)OC(=O)CCCCCCCCC(O)=O,CHEBI_25212
C1CCC(C1)NC(=O)C(C2=CC=NC=C2)N(C3=CC4=C(C=C3)OCO4)C(=O)CNC(=O)C5=CC=CO5,CHEBI_16670
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)[C@H]([C@@H]1CC3)C([O-])=O,CHEBI_77746
O=C(NCC(=O)N[C@@H](CC(=O)N)C(O)=O)[C@H]1NCCC1,CHEBI_16670
O=C(N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)N)C(O)=O)[C@@H](N)CCCN=C(N)N,CHEBI_25676
[H][C@]12C[C@@H](O)[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)CCCC(C)C)[C@@]4(C)[C@@H](O)C[C@]3([H])[C@@]1(C)CCC(=O)C2,CHEBI_75771
Cc1ncc(COP(O)(O)=O)c(CN)c1O,CHEBI_77746
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@H]1N(CCC1)C(=O)[C@@H](N)CC=2NC=NC2,CHEBI_25676
[H][C@@]12CC[C@H](O)[C@]([H])(CC(=O)O[C@@H](C)CCC\C=C\1)O2,CHEBI_35610
O=C(N[C@@H](C(C)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CO)CC=1NC=NC1,CHEBI_16670
SC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)N)CCC(O)=O)C(O)=O,CHEBI_16670
O=C(N[C@@H](CCCN=C(N)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)C)[C@H](CC)C,CHEBI_25676
C[C@@](O)(\C=C\[C@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)\C=C/C=C\C=C\CO)OP(O)(O)=O,CHEBI_35610
O=C(N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(O)=O)[C@H]1NCCC1,CHEBI_25676
COc1cc2oc(c(C)c2cc1O)-c1ccc(O)cc1,CHEBI_25212
O[C@@H]([C@H](N)C(=O)NCC(=O)N[C@@H](CCCN=C(N)N)C(O)=O)C,CHEBI_16670
CC(C)C(=O)OCC(C)C(OC(=O)C(C)C)C(C)(C)C,CHEBI_77746
CSCCC(=O)C(=O)COP([O-])([O-])=O,CHEBI_77746
[O-]C(=O)C(=O)CS,CHEBI_77746
C1COCSC1,CHEBI_25212
O[C@@H]1c2ccc(O)cc2OC[C@]1(O)Cc1ccc(O)cc1,CHEBI_76924
NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O,CHEBI_75771
[O-]C(=O)C\C(=C\C([O-])=O)C([O-])=O,CHEBI_77746
[NH3+][C@@H](Cc1ccccc1)C(O)=O,CHEBI_76924
OC[C@@H](O)COP(O)(O)=O,CHEBI_75771
CC(C)=CC\C=C(\C)C=C,CHEBI_76924
O=C(N[C@@H](CC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)C(C)C)CC(C)C,CHEBI_16670
O=C(N1[C@H](CCC1)C(O)=O)[C@@H](NC(=O)[C@H]2NCCC2)C,CHEBI_16670
O=C(N[C@H](C(=O)N[C@@H]([C@H](CC)C)C(O)=O)CC(=O)N)[C@@H](N)[C@H](CC)C,CHEBI_16670
[O-]C(=O)CCC(=O)C([O-])=O,CHEBI_77746
[H][C@@]12CC=C3[C@]4([H])CC[C@]([H])([C@H](C)CCC=C(C)C)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC[C@H](O)C2,CHEBI_77746
O=C(N[C@@H](CC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(O)=O)[C@@H](N)CC=1C=2C(NC1)=CC=CC2,CHEBI_16670
CC1(C)O[C@H]1C(=O)CC([C@@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(O)=O,CHEBI_76924
CC(=O)N[C@@H](CC(O)=O)C(O)=O,CHEBI_75771
S(CC[C@H](NC(=O)[C@@H](N)[C@H](CC)C)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O)C,CHEBI_25676
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)CC1=CC=C(O)C=C1,CHEBI_16670
CC(=O)NCCCCN,CHEBI_75771
S(CC[C@H](N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O)C,CHEBI_16670
N1=CN=C2C(N1C)=NC(N(C2=O)C)=O,CHEBI_35610
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCCCCCCCCCCCC,CHEBI_75771
OCC(CC(=O)c1ccc2OCOc2c1)C(=O)c1ccc2OCOc2c1,CHEBI_25212
O=C(CCC/C=C\C/C=C\C/C=C\[C@@H]([C@H]1[C@H](CCCCC)O1)O)O,CHEBI_77746
[C@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)(C[N+](C)(C)C)CC(=O)O.[Cl-],CHEBI_77746
C(C=1C=CC(=CC1)O)([O-])=O.[Na+],CHEBI_76924
O=C(N[C@@H]([C@H](CC)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)C)CC(C)C,CHEBI_16670
C(=O)([O-])C(CCCCCC)[NH3+],CHEBI_77746
[C@@]12([C@]3([C@@]([C@@]4(C(C[C@@H](O)CC4)=CC3)C)(CC[C@@]1([C@@]([C@@H](/C=C/[C@@H](C(C)C)C)C)(CC2)[H])C)[H])[H])[H],CHEBI_77746
CCCCCCCCCCCCCCCCC(C(CCCCCCCCCCCCC1=CC(C)OC1=O)O)O,CHEBI_75771
CC(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(C)=C/C(O)=O,CHEBI_35610
[C@@H](COC(=O)*)(COP(OCC[N+](C)(C)C)(=O)[O-])OC(=O)*,CHEBI_77746
COc1cc(cc(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)c1O)C(O)=O,CHEBI_75771
O=C(N[C@@H](CC(O)=O)C(=O)NCC(O)=O)[C@H]1NCCC1,CHEBI_25676
C\C(CC[C@H]1C(C)(C)CCC[C@]1(C)O)=C/CC\C(CO)=C\CC1OC(=O)C=C1CO,CHEBI_35610
SC[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](C(C)C)C(O)=O)C,CHEBI_25676
O=C(N[C@@H](CC=1C=2C(NC1)=CC=CC2)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)CC(C)C,CHEBI_25676
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)O[C@H](CO)COP(O)(=O)OCCN,CHEBI_25212
[C@H]1(C[C@@H](O)CN1C)C(=O)O,CHEBI_76924
[C@@H](CO)(COP(OCC[N+](C)(C)C)(=O)[O-])OC(=O)*,CHEBI_77746
CCC(=O)OCCC(C)C,CHEBI_25212
[H][C@@]12C[C@@H](O)C=C3[C@H](O[C@@H](OC(C)=O)[C@@]13[C@H](C[C@@H](C)[C@@]2(C)C\C=C(/C)C=C)OC(=O)\C=C/C=C/CCCCC)OC(C)=O,CHEBI_25212
SC[C@H](NC(=O)[C@@H](N)CC=1NC=NC1)C(=O)N[C@@H](CS)C(O)=O,CHEBI_25676
C[C@@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,CHEBI_76924
C[C@@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(-c2ccc(O)cc2)c(O)c3=O)[C@H](OC(=O)\C=C\c2ccc(O)cc2)[C@H](OC(=O)\C=C\c2ccc(O)cc2)[C@H]1O,CHEBI_25212
Cc1c(O)cc(O)c2C(=O)C[C@H](Oc12)c1ccccc1O,CHEBI_76924
[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCC,CHEBI_75771
O=C(N[C@@H](CCC(=O)N)C(O)=O)[C@@H](NC(=O)CN)C(C)C,CHEBI_25676
C=1(C2=C(C=C(C1F)NC3CCCCC3)N(C=C(C2=O)C(O)=O)CC)N,CHEBI_35610
O=C(N[C@H](C(=O)N[C@@H](CC(O)=O)C(O)=O)C)[C@@H](N)CCC(O)=O,CHEBI_25676
[H][C@@]12CC(C)(C)CC[C@]1(C)CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@@H](OC(C)=O)[C@](C)(C(O)=O)[C@]3([H])CC[C@@]12C,CHEBI_25212
NC(=O)OP(O)(O)=O,CHEBI_75771
