smile,classe
CC(C)=CCC1=C(C(=O)C(O)=C(C1=O)c1c([nH]c2ccccc12)C(C)(C)C=C)c1c[nH]c2ccccc12,CHEBI_35610
[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])C(=O)C[C@@]1(C)[C@@]2([H])CC[C@]1(O)C(=O)CO,CHEBI_77746
Oc1cccc2C=CC(=O)OCc12,CHEBI_25212
SC[C@H](N)C(=O)N1[C@@H](CCC1)C(=O)N2[C@@H](CCC2)C(O)=O,CHEBI_25676
CC1C=C(CCCCCCCCCCCCCCCCC(C(CCCCCCCCCCCC)O)O)C(=O)O1,CHEBI_76924
CN1CCN(CC1)Cc1ccc(cc1)C(=O)Nc1ccc(C)c(Nc2nc(cs2)-c2cccnc2)c1,CHEBI_35610
COc1ccc2c(oc3c4c(OC(C)C4(C)C)cc(O)c3c2=O)c1O,CHEBI_25212
P(OC[C@@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(=O)(OCCN)O,CHEBI_75771
NC(=O)NCCCC[C@H]([NH3+])C([O-])=O,CHEBI_75771
[H][C@]12Cc3cc(cc(O)c3O[C@]1(C)CC[C@@H](O)C2(C)C)\C=C\c1cc(O)c(CC=C(C)C)c(O)c1,CHEBI_25212
Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@@H]2COP([O-])(=O)O[C@H]2[C@H]1O,CHEBI_77746
[H][C@]1(O[C@@H](O)[C@H](OC(=O)C=C(C)C)[C@H](O)[C@H]1O)[C@]1([H])c2cccc(O)c2C(=O)c2c(O)cc(C)cc12,CHEBI_25212
S(CC[C@H](NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O)C,CHEBI_25676
O=C(N1[C@H](CCC1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCCN=C(N)N)CC(C)C,CHEBI_16670
CCCCC\C=C/C\C=C/C\C=C/CC1OC1CCCC(O)=O,CHEBI_75771
C(CCCCCCCCCCCC(C(C(C(N)CO)O)O)O)CCC,CHEBI_76924
COc1ccc(cc1)-c1cc(=O)c2c(O)cc(O)c(-c3cc(ccc3OC)-c3cc(=O)c4c(O)cc(O)cc4o3)c2o1,CHEBI_76924
O=C(N[C@@H](C(C)C)C(O)=O)[C@@H](NC(=O)[C@@H](N)CC(=O)N)CO,CHEBI_25676
O=C(N[C@@H](CO)C(O)=O)[C@@H](NC(=O)CN)CC1=CC=C(O)C=C1,CHEBI_25676
S(CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CC=1NC=NC1)C)C(O)=O)C,CHEBI_16670
[H][C@]1(O[C@@H](OC(C)=O)[C@H](O)[C@H](OC(=O)C=C(C)C)[C@H]1O)[C@]1([H])c2cccc(O)c2C(=O)c2c(O)cc(C)cc12,CHEBI_35610
Oc1ccc2[nH]cc(CC([O-])=O)c2c1,CHEBI_77746
S(CC[C@H](NC(=O)[C@@H](N)CC=1NC=NC1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C,CHEBI_16670
C[C@]1(CCC(=O)O1)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CC[C@@H](O)C(C)(C)[C@@H]3CC[C@@]21C,CHEBI_76924
OC1(O)C(=O)c2ccccc2C1=O,CHEBI_77746
C=1C2=C(C=C(C1OC)OC)C=3C=C(C=CC3C4=C2C[C@]5(CCCN5C4)[H])OC,CHEBI_35610
C1(=CC=CC(=C1)NC2=NC(=NC=C2C)NC3=CC=C(C=C3)N4CCN(CC4)C)S(NC(C)(C)C)(=O)=O,CHEBI_35610
[H]C(=O)C(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C,CHEBI_77746
